"Date","Month","Year","Site.Name","COUNTY","meanLat","meanLong","PM2.5","Ozone"
2018-01-01,1,2018,"Bryson City","Swain",35.434767,-83.442133,35,NA
2018-01-01,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
2018-01-01,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,24,NA
2018-01-01,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,31,NA
2018-01-01,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,20,32
2018-01-01,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,22,NA
2018-01-01,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,14,NA
2018-01-01,1,2018,"Millbrook School","Wake",35.856111,-78.574167,28,34
2018-01-01,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,15,NA
2018-01-01,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,24,NA
2018-01-02,1,2018,"Bryson City","Swain",35.434767,-83.442133,51,NA
2018-01-02,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,15,NA
2018-01-02,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,40,NA
2018-01-02,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,37,NA
2018-01-02,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,7,NA
2018-01-02,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,38,31
2018-01-02,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,25.5,NA
2018-01-02,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,20,NA
2018-01-02,1,2018,"Linville Falls","Avery",35.972347,-81.933072,12,NA
2018-01-02,1,2018,"Millbrook School","Wake",35.856111,-78.574167,38.5,31
2018-01-02,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,28,NA
2018-01-02,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
2018-01-03,1,2018,"Bryson City","Swain",35.434767,-83.442133,44,NA
2018-01-03,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,18,NA
2018-01-03,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,68,NA
2018-01-03,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,58,NA
2018-01-03,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,59,21
2018-01-03,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,55,NA
2018-01-03,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,23,NA
2018-01-03,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,60,NA
2018-01-03,1,2018,"Millbrook School","Wake",35.856111,-78.574167,61,30
2018-01-03,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,34,NA
2018-01-03,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,47,NA
2018-01-04,1,2018,"Bryson City","Swain",35.434767,-83.442133,28,NA
2018-01-04,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,19,NA
2018-01-04,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,42,NA
2018-01-04,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,40,NA
2018-01-04,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,39,30
2018-01-04,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,35,NA
2018-01-04,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,23,NA
2018-01-04,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,25,NA
2018-01-04,1,2018,"Millbrook School","Wake",35.856111,-78.574167,39,32
2018-01-04,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,25,NA
2018-01-04,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,30,NA
2018-01-05,1,2018,"Bryson City","Swain",35.434767,-83.442133,30,NA
2018-01-05,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,15,NA
2018-01-05,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,37,NA
2018-01-05,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,32.5,NA
2018-01-05,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,13,NA
2018-01-05,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32,30
2018-01-05,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,27,NA
2018-01-05,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,9,NA
2018-01-05,1,2018,"Linville Falls","Avery",35.972347,-81.933072,15,NA
2018-01-05,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,23,NA
2018-01-05,1,2018,"Millbrook School","Wake",35.856111,-78.574167,32,33
2018-01-05,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,21,NA
2018-01-05,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,32,NA
2018-01-06,1,2018,"Bryson City","Swain",35.434767,-83.442133,35,NA
2018-01-06,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,21,NA
2018-01-06,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,35,NA
2018-01-06,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,32,NA
2018-01-06,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,40,31
2018-01-06,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,22,NA
2018-01-06,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,8,NA
2018-01-06,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,23,NA
2018-01-06,1,2018,"Millbrook School","Wake",35.856111,-78.574167,33,33
2018-01-06,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,17,NA
2018-01-06,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,29,NA
2018-01-07,1,2018,"Bryson City","Swain",35.434767,-83.442133,54,NA
2018-01-07,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,9,NA
2018-01-07,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,49,NA
2018-01-07,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,39,NA
2018-01-07,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,47,31
2018-01-07,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,28,NA
2018-01-07,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,15,NA
2018-01-07,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,38,NA
2018-01-07,1,2018,"Millbrook School","Wake",35.856111,-78.574167,48,34
2018-01-07,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
2018-01-07,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,27,NA
2018-01-08,1,2018,"Bryson City","Swain",35.434767,-83.442133,71,NA
2018-01-08,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,11,NA
2018-01-08,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,52,NA
2018-01-08,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,34.5,NA
2018-01-08,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,3,NA
2018-01-08,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,53,16
2018-01-08,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,40,NA
2018-01-08,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,40,NA
2018-01-08,1,2018,"Linville Falls","Avery",35.972347,-81.933072,22,NA
2018-01-08,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,44,NA
2018-01-08,1,2018,"Millbrook School","Wake",35.856111,-78.574167,42.5,27
2018-01-08,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31,NA
2018-01-08,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,38,NA
2018-01-09,1,2018,"Bryson City","Swain",35.434767,-83.442133,78,NA
2018-01-09,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,20,NA
2018-01-09,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,60,NA
2018-01-09,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,49,NA
2018-01-09,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,53,28
2018-01-09,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,54,NA
2018-01-09,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
2018-01-09,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,43,NA
2018-01-09,1,2018,"Millbrook School","Wake",35.856111,-78.574167,35,30
2018-01-09,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31,NA
2018-01-09,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,43,NA
2018-01-10,1,2018,"Bryson City","Swain",35.434767,-83.442133,56,NA
2018-01-10,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,14,NA
2018-01-10,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,39,NA
2018-01-10,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,39,NA
2018-01-10,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,38,31
2018-01-10,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,32,NA
2018-01-10,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,35,NA
2018-01-10,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,29,NA
2018-01-10,1,2018,"Millbrook School","Wake",35.856111,-78.574167,22,33
2018-01-10,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,37,NA
2018-01-10,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
2018-01-11,1,2018,"Bryson City","Swain",35.434767,-83.442133,17,NA
2018-01-11,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,12,NA
2018-01-11,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,59,NA
2018-01-11,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,43.5,NA
2018-01-11,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,0,NA
2018-01-11,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,35,26
2018-01-11,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,48.5,NA
2018-01-11,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,34,NA
2018-01-11,1,2018,"Linville Falls","Avery",35.972347,-81.933072,3,NA
2018-01-11,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
2018-01-11,1,2018,"Millbrook School","Wake",35.856111,-78.574167,23,26
2018-01-11,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,27.5,NA
2018-01-11,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,41,NA
2018-01-12,1,2018,"Bryson City","Swain",35.434767,-83.442133,10,NA
2018-01-12,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,0,NA
2018-01-12,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,23,NA
2018-01-12,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,5,NA
2018-01-12,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,20,33
2018-01-12,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,23,NA
2018-01-12,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,8,NA
2018-01-12,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,15,NA
2018-01-12,1,2018,"Millbrook School","Wake",35.856111,-78.574167,0,35
2018-01-12,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,12,NA
2018-01-12,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,13,NA
2018-01-13,1,2018,"Bryson City","Swain",35.434767,-83.442133,18,NA
2018-01-13,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,10,NA
2018-01-13,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,10,NA
2018-01-13,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,20,NA
2018-01-13,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15,32
2018-01-13,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,10,NA
2018-01-13,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,0,NA
